sample id,sample weight,unburned fuse length,burned fuse length,temp rise,gross heat before fuse,gross heat corrected
BA070819001,0.19729,37,63,2.3373,26.181,26.1908
BA070819002,0.19812,21,79,2.3509,26.2252,26.1572
JUM1115187008,0.11635,28,72,1.1337,21.2252,21.1984
JUM1115187009,0.11393,30,70,1.129,21.6156,2.5733
JUM1115187010,0.18282,27,73,1.7942,,21.5666
JUM1115187015,0.13784,28,72,1.3839,22.0018,21.9524
JUM1115187017,0.09506,29,71,0.9337,21.3121,21.2513
JUM1115187020,0.09837,33,67,0.9319,20.5541,20.5346
JUM1115187021,0.0919,48,52,0.8815,20.7727,20.909
JUM1115187022,0.09048,23,77,0.8894,,21.1671
JUM1115187025,0.10773,16,84,1.0664,21.5609,21.3911
BA071519001,0.21068,31,69,2.4818,26.0514,26.0331
BA071519002,0.21249,25,75,2.5251,,26.2279
JUM111518J040,0.12321,35,65,1.1905,21.1048,21.1048
JUM111518J053,0.10895,35,65,1.069,21.373,21.373
JUM092518J006,0.11769,33,67,1.1489,21.3043,21.288
JUM092518J009,0.09898,32,68,0.9497,20.8293,20.8002
JUM092518J011,0.14757,40,60,1.4566,21.6539,21.6865
JUM092518J015,0.09247,35,65,0.9137,21.4233,21.4233
JUM092518J022,0.07074,41,59,0.71,21.5643,21.646
BA071619001,0.20784,31,69,2.462,26.1948,26.1763
BA071619002,0.2131,38,62,,,
BA072219001,0.20557,50,50,2.4243,26.0733,26.1436
BA072219002,0.2101,28,72,2.4977,26.2924,26.2603
JUM092518J023,0.12128,56,44,1.1563,20.8094,20.9761
JUM092518J028,0.11797,17,83,1.174,21.7281,21.5812
JUM092518J036,0.09799,43,57,0.9631,21.3446,21.4232
JUM092518J040,0.10467,32,68,1.0066,20.9128,20.8853
JUM092518J044,,32,68,0.8547,20.1522,20.1207
BA01,0.21063,22,78,2.4995,26.2402,26.1868
BA02,0.20279,48,52,2.4009,26.1731,26.2348
JUM092518J049,0.12066,46,54,1.1932,21.6006,21.6884
JUM092518J051,0.17721,30,70,1.7452,21.6745,21.6473
BA072919001,0.20268,34,66,2.401,26.1888,26.184
BA072919002,0.20719,16,84,2.451,26.1582,26.0699
JUM092718J006,0.16008,47,53,1.4687,20.131,20.2031
JUM092718J009,0.13148,35,65,1.2822,21.3375,21.3375
BA073119001,0.20695,33,67,2.4481,26.1568,26.1475
BA073119002,0.20159,32,68,2.4145,26.4792,26.4649
JUM092718J010,0.16961,38,62,1.5628,20.24,20.2571
JUM092718J011,0.13448,45,55,1.2258,19.9231,19.9947
JUM092718J012,0.14016,38,62,1.2721,19.854,19.8746
JUM092718J013,0.16186,46,54,1.4783,20.0421,20.1076
BA01,0.18969,45,55,2.2325,117.9321,117.9828
BA02,0.21138,9,91,2.5007,26.1657,22.3162
BA03,0.21303,37,63,2.4362,25.2857,22.7317
JUM111518J008,0.18067,13,87,1.7158,20.8962,16.6056
BA030419001,0.21258,30,70,2.5229,26.2513,26.2287
BA030419002,0.20327,35,65,2.4131,26.245,26.245
JUM092518J040,0.1174,30,70,1.1652,21.6665,21.6255
BA030419003,0.20623,36,64,2.4427,26.1893,26.1939
BA030719001,0.21357,42,58,2.5164,26.04,26.0715
BA030719002,0.21088,31,69,2.4842,26.0521,26.0338
JUM092518J051,0.08343,55,65,0.7681,19.8417,19.8417
JUM092518J051,0.12012,28,72,1.1762,21.3812,21.325
JUM101118J006,0.1202,36,64,1.1482,20.8648,20.8728
BA030719003,0.20577,35,65,2.4294,26.1036,26.1036
BA030819001,0.20947,34,66,2.3846,25.1856,25.1813
BA030819002,0.21418,31,69,2.5278,26.1059,26.088
JUM101118J007,0.08557,35,65,0.8081,20.3911,20.3911
JUM101118J009,0.07205,39,61,0.7063,21.0576,21.111
JUM101118J010,0.09282,47,53,0.8854,20.6607,20.7852
BA031519001,0.21279,31,69,2.5142,26.1336,26.1155
BA031519002,0.20577,33,67,2.4239,26.0438,26.0345
