predator_id,prey_count,empty?,analyzed_date,analyzed_by,prey_id,prey_taxon,measurement_type,vert_count,prey_length,saved_for_iso?,ww,dw,comments
NAR031620024,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620022,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620020,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620018,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620021,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620014,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620012,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620015,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620010,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620023,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620019,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620006,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620007,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620003,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620002,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620001,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620005,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620017,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620016,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620008,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031620011,0,Y,20200713,NGA,NA,NA,NA,,NA,N,,,
NAR031720016,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720014,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720015,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720002,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720001,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720007,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720003,1,N,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720005,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720013,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720004,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720005,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720006,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720009,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720008,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720011,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720010,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR031720012,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR071718004,1,N,20200708,NGA,NAR071718004CRAY01,CRAY,NA,,NA,N,,,too digested to measure
NAR071718003,1,N,20200708,NGA,NAR071718003CRAY01,CRAY,carapace,,31,N,,,
NAR071718003,1,N,20200708,NGA,NAR071718003CRAY02,CRAY,carapace,,34,N,,,
NAR071718003,1,N,20200708,NGA,NAR071718003CRAY03,CRAY,NA,,NA,N,,,too digested to measure
NAR071718016,1,N,20200708,NGA,NAR071718016CRAY01,CRAY,NA,,NA,N,,,too digested to measure
NAR071718020,1,N,20200708,NGA,NAR071718020CRAY01,CRAY,NA,,NA,N,,,too digested to measure
NAR071718013,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,too digested to measure
NAR071718010,1,N,20200708,NGA,NAR071718010YPE01,YPE,bbl,,57,N,,,
NAR071918003,1,N,20200708,NGA,NAR071918003YPE01,YPE,bbl,,81,N,,,
NAR071718011,1,N,20200708,NGA,NAR071718011CRAY01,CRAY,NA,,NA,N,,,too digested to measure
NAR071718017,1,N,20200708,NGA,NAR071718017CRAY01,CRAY,carapace,,50,N,,,
NAR071718023,1,N,20200708,NGA,NAR071718023YPE01,YPE,bbl,,57,N,,,
NAR071918009,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR071918008,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR071918014,1,N,20200708,NGA,NAR071918014CRAY01,CRAY,carapace,,40,N,,,
NAR071718027,3,N,20200708,NGA,NA,CRAY,NA,,NA,N,,,too digested to measure
NAR071718026,1,N,20200708,NGA,NAR071718026CRAY01,CRAY,1,,NA,N,,,
NAR071918006,1,N,20200708,NGA,NA,UNK_FISH,bbl,,2,N,,,
NAR071918006,1,N,20200708,NGA,NA,UNK_FISH,bbl,,2.5,N,,,
NAR071918006,1,N,20200708,NGA,NA,UNK_FISH,bbl,,2,N,,,
NAR071918006,1,N,20200708,NGA,NA,UNK_FISH,bbl,,1.9,N,,,
NAR071918016,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR071918002,1,N,20200708,NGA,NAR071918002YPE01,YPE,bbl,,64.5,N,,,
NAR071718012,1,N,20200708,NGA,NAR071718012CRAY01,CRAY,carapace,,36,N,,,
NAR071718025,1,N,20200708,NGA,NAR071718025CRAY01,CRAY,NA,,NA,N,,,
NAR071718006,1,N,20200708,NGA,NAR071718006CRAY01,CRAY,carapace,,37,N,,,
NAR071918012,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR071918015,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR071718024,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR071718018,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR071918005,0,Y,20200708,NGA,NA,NA,NA,,NA,N,,,
NAR071718022,1,N,20200708,CJF,NAR071718022CRAY01,CRAY,claw,,32,N,,,
NAR071718011,1,N,20200708,CJF,NAR071718011CRAY01,CRAY,NA,,NA,N,,,
NAR071718021,2,N,20200708,CJF,NA,CRAY,NA,,NA,N,,,
NAR071718007,1,N,20200708,CJF,NAR071718007CRAY01,CRAY,carapace,,40.5,N,,,
NAR071718007,1,N,20200708,CJF,NAR071718007CRAY02,CRAY,carapace,,14.5,N,,,
NAR071718001,1,N,20200708,CJF,NAR071718001CRAY01,CRAY,carapace,,44.7,N,,,
NAR071718002,1,N,20200708,CJF,NAR071718002CRAY01,CRAY,carapace,,21.8,Y,,,
NAR071718014,1,N,20200708,CJF,NAR071718014CRAY01,CRAY,carapace,,28.1,N,,,
NAR071918007,1,N,20200708,CJF,NAR071918007CRAY01,CRAY,carapace,,26,N,,,
NAR071918007,1,N,20200708,CJF,NAR071918007CRAY02,CRAY,carapace,,24.9,N,,,
NAR071918007,1,N,20200708,CJF,NAR071918007CRAY03,CRAY,carapace,,12.5,Y,,,
NAR071918010,1,N,20200708,CJF,NAR071918010CRAY01,CRAY,carapace,,35.4,N,,,
NAR071718019,1,N,20200708,CJF,NAR071718019CRAY01,CRAY,carapace,,32.2,N,,,
NAR071718019,1,N,20200708,CJF,NAR071718019CRAY02,CRAY,carapace,,28.1,N,,,
NAR071718019,1,N,20200708,CJF,NAR071718019CRAY03,CRAY,carapace,,21.8,N,,,
NAR071918013,1,N,20200708,CJF,NAR071918013CRAY01,CRAY,carapace,,41.6,N,,,
NAR071918013,1,N,20200708,CJF,NAR071918013CRAY02,CRAY,carapace,,34.3,N,,,
NAR071918013,1,N,20200708,CJF,NAR071918013YPE01,YPE,bbl,,43.7,N,,,
NAR071718005,1,N,20200708,CJF,NAR071718005CRAY01,CRAY,carapace,,54.1,N,,,
NAR071718005,1,N,20200708,CJF,NAR071718005CRAY02,CRAY,carapace,,40.6,N,,,
NAR071718005,1,N,20200708,CJF,NAR071718005CRAY03,CRAY,carapace,,32.2,N,,,
NAR071918004,1,N,20200708,CJF,NAR071918004CRAY01,CRAY,carapace,,52,N,,,
NAR071918004,1,N,20200708,CJF,NAR071918004CRAY02,CRAY,carapace,,24.9,N,,,
NAR071918001,1,N,20200708,CJF,NAR071918001CRAY01,CRAY,carapace,,36.4,N,,,
