sample id,tissue type,boat weight,tissue + bag + paper,pin + paper,final tissue + boat,final bag,final pin,final paper,notes
ANX091019J001,Muscle,1.27,10.48,0.44,2.87,2,0.1,0.11,
ANX091019J002,Muscle,1.27,20.81,0.42,5.16,2.1,0.12,0.17,
ANX091019J003,Muscle,1.27,23.77,0.51,5.88,2.1,0.11,0.14,
ANX091019J004,Muscle,1.28,37.85,0.41,8.78,2,0.14,0.15,
ANX091019J005,Muscle,1.26,22.15,0.36,5.54,2,0.14,0.13,
ANX091019J006,Muscle,1.28,10.17,0.44,2.82,2,0.11,0.14,
ANX091019J007,Muscle,1.27,9.81,0.36,2.75,2.1,0.11,0.11,
ANX091019J008,Muscle,1.27,11.38,0.42,3.07,2.1,0.12,0.15,
ANX091019J009,Muscle,1.27,9.63,0.29,2.78,2,0.13,0.11,
ANX091019J010,Muscle,1.26,18.05,0.3,4.64,2,0.11,0.1,
ANX091019J011,Muscle,1.27,22.31,0.3,5.54,2,0.11,0.15,
ANX091019J012,Muscle,1.24,12.84,0.38,3.43,2,0.11,0.12,
ANX091019J013,Muscle,1.26,10.88,0.28,3.1,2,0.12,0.1,
ANX091019J014,Muscle,1.24,17.36,0.48,4.5,2,0.11,0.14,
ANX091019J015,Muscle,1.25,17.55,0.34,4.53,2,0.12,0.1,
ANX091019J016,Muscle,1.27,22.08,0.24,5.53,2,0.11,0.12,
ANX091019J017,Muscle,1.29,19.9,0.42,5.01,2,0.11,0.15,
ANX091019J018,Muscle,1.29,22.46,0.44,5.43,2,0.12,0.24,
ANX091019J019,Muscle,1.26,7.15,0.43,2.26,2,0.15,0.22,
ANX091019J020,Muscle,1.28,5.81,0.56,194,2,0.13,0.24,
ANX091019J021,Muscle,1.27,8.43,0.52,2.42,2,0.13,0.27,
ANX091019J022,Muscle,1.26,9.15,0.64,2.64,2,0.15,0.28,
ANX091019J023,Muscle,1.28,20.93,0.67,5.25,2,0.14,0.23,
ANX091019J024,Muscle,1.27,21.86,0.44,5.4,2,0.14,0.25,
ANX091019J025,Muscle,1.28,6.71,0.5,2.13,2.1,0.12,0.19,
ANX091019J026,Muscle,1.26,14.11,0.47,3.56,2,0.11,0.19,
ANX091019J027,Muscle,1.28,18.37,0.41,4.62,2,0.14,0.17,
ANX091019J028,Muscle,1.26,18.4,0.33,4.65,2,0.12,0.13,
ANX091019J029,Muscle,1.29,21.11,0.38,5.22,2.1,0.14,0.12,
ANX091019J030,Muscle,1.27,18.26,0.33,4.6,2,0.17,0.09,
ANX091019J031,Muscle,start on page 2,,,,,,,
ANX091019J032,Muscle,,,,,,,,
ANX091019J033,Muscle,,,,,,,,
ANX091019J034,Muscle,,,,,,,,
ANX091019J035,Muscle,,,,,,,,
ANX091019J036,Muscle,,,,,,,,
ANX091019J037,Muscle,,,,,,,,
ANX091019J038,Muscle,,,,,,,,
ANX091019J039,Muscle,,,,,,,,
ANX091019J040,Muscle,,,,,,,,
ANX091019J041,Muscle,,,,,,,,
ANX091019J042,Muscle,,,,,,,,
ANX091019J043,Muscle,,,,,,,,
ANX091019J044,Muscle,,,,,,,,
ANX091019J045,Muscle,,,,,,,,
ANX091019J046,Muscle,,,,,,,,
ANX091019J047,Muscle,,,,,,,,
ANX091019J048,Muscle,,,,,,,,
ANX091019J049,Muscle,,,,,,,,
ANX091019J050,Muscle,,,,,,,,
ANX091019J051,Muscle,,,,,,,,
ANX091019J052,Muscle,,,,,,,,
ANX091019J053,Muscle,,,,,,,,
ANX091019J054,Muscle,,,,,,,,
ANX091019J055,Muscle,,,,,,,,
ANX091019J056,Muscle,,,,,,,,
ANX091019J057,Muscle,,,,,,,,
ANX091019J058,Muscle,,,,,,,,
ANX091019J059,Muscle,,,,,,,,
ANX091019J060,Muscle,,,,,,,,
ANX091019J061,Muscle,,,,,,,,
ANX091019J062,Muscle,,,,,,,,
ANX091019J063,Muscle,,,,,,,,
ANX091019J064,Muscle,,,,,,,,
ANX091019J065,Muscle,,,,,,,,
ANX091019J066,Muscle,,,,,,,,
ANX091019J067,Muscle,,,,,,,,
ANX091019J068,Muscle,,,,,,,,
ANX091019J069,Muscle,,,,,,,,
ANX091019J070,Muscle,,,,,,,,
ANX091019J071,Muscle,,,,,,,,
ANX091019J072,Muscle,,,,,,,,
ANX091019J073,Muscle,,,,,,,,
ANX091019J074,Muscle,,,,,,,,
ANX091019J075,Muscle,,,,,,,,
ANX091019J076,Muscle,,,,,,,,
ANX091019J077,Muscle,,,,,,,,
ANX091019J078,Muscle,,,,,,,,
ANX091019J079,Muscle,,,,,,,,
ANX091019J080,Muscle,,,,,,,,
ANX091019J081,Muscle,,,,,,,,
ANX091019J082,Muscle,,,,,,,,
ANX091019J083,Muscle,,,,,,,,
ANX091019J084,Muscle,,,,,,,,
ANX091019J085,Muscle,,,,,,,,
ANX091019J086,Muscle,,,,,,,,
ANX091019J087,Muscle,,,,,,,,
ANX091019J088,Muscle,,,,,,,,
ANX091019J089,Muscle,,,,,,,,
ANX091019J090,Muscle,,,,,,,,
ANX091019J091,Muscle,,,,,,,,
ANX091019J092,Muscle,,,,,,,,
ANX091019J093,Muscle,,,,,,,,
ANX091019J094,Muscle,,,,,,,,
ANX091019J095,Muscle,,,,,,,,
ANX091019J096,Muscle,,,,,,,,
ANX091019J097,Muscle,,,,,,,,
ANX091019J098,Muscle,,,,,,,,
ANX091019J099,Muscle,,,,,,,,
ANX091019J100,Muscle,,,,,,,,
