runorder,sampleid,tissueid,rep,edid,date_run,sampletype,fishid,sample_wt,unburned_fuse,burned_fuse,temp_rise,gross_heat_b4_correction,corrected_gross_heat
3,NAR040618025,NAR040618025G,1,NAR040618025GED1,20200122,gonad,NAR040618025,0.15645,15,85,1.8368,25.8601,25.737
38,NAR040618025,NAR040618025G,2,NAR040618025GED2,20200217,gonad,NAR040618025,0.24966,28,72,3.0545,27.1154,27.0884
39,NAR040618025,NAR040618025G,3,NAR040618025GED3,20200217,gonad,NAR040618025,0.1261,71,29,1.5566,27.1141,27.389
6,NAR040618024,NAR040618024G,1,NAR040618024GED1,20200123,gonad,NAR040618024,0.14691,44,56,1.7297,25.9092,25.9682
43,NAR040618024,NAR040618024G,2,NAR040618024GED2,20200217,gonad,NAR040618024,0.18419,37,63,2.2128,26.5315,26.542
44,NAR040618024,NAR040618024G,3,NAR040618024GED3,20200217,gonad,NAR040618024,0.16382,31,69,1.8256,24.544,24.5204
23,NAR040618006,NAR040618006G,1,NAR040618006GED1,20200130,gonad,NAR040618006,0.18543,33,67,2.1763,25.9135,25.9031
68,NAR040618006,NAR040618006G,2,NAR040618006GED2,20200219,gonad,NAR040618006,0.20593,37,63,2.3967,25.7288,25.7381
69,NAR040618006,NAR040618006G,3,NAR040618006GED3,20200219,gonad,NAR040618006,0.22833,31,69,2.6814,25.9931,25.9763
27,NAR040618002,NAR040618002G,1,NAR040618002GED1,20200131,gonad,NAR040618002,0.18517,30,70,2.0413,24.3201,24.2941
72,NAR040618002,NAR040618002G,2,NAR040618002GED2,20200219,gonad,NAR040618002,0.13591,30,70,1.4643,23.638,23.6025
73,NAR040618002,NAR040618002G,3,NAR040618002GED3,20200219,gonad,NAR040618002,0.15306,35,65,1.7092,24.5684,24.5684
83,NAR033019016,NAR033019016G,1,NAR033019016GED1,20200219,gonad,NAR033019016,0.0529,36,64,0.6036,24.3407,24.3589
97,NAR033019016,NAR033019016G,2,NAR033019016GED2,20200220,gonad,NAR033019016,0.04682,30,70,0.4919,23.9781,23.8668
98,NAR033019016,NAR033019016G,3,NAR033019016GED3,20200220,gonad,NAR033019016,0.03694,34,66,0.5252,23.7527,23.7321
31,NAR033019015,NAR033019015G,1,NAR033019015GED1,20200207,gonad,NAR033019015,0.07683,51,49,0.7477,20.954,21.1546
76,NAR033019015,NAR033019015G,2,NAR033019015GED2,20200219,gonad,NAR033019015,0.08643,33,67,0.8845,22.1665,22.1442
77,NAR033019015,NAR033019015G,3,NAR033019015GED3,20200219,gonad,NAR033019015,0.06914,47,53,0.6844,21.2362,21.4033
24,NAR033019013,NAR033019013G,1,NAR033019013GED1,20200130,gonad,NAR033019013,0.18272,33,67,2.1561,26.0508,26.0403
70,NAR033019013,NAR033019013G,2,NAR033019013GED2,20200219,gonad,NAR033019013,0.16781,39,61,2.0234,26.5907,26.6196
71,NAR033019013,NAR033019013G,3,NAR033019013GED3,20200219,gonad,NAR033019013,0.21329,48,52,2.5209,26.1427,26.2014
42,NAR033019010,NAR033019010G,1,NAR033019010GED1,20200217,gonad,NAR033019010,0.055,13,87,0.5566,21.498,21.1128
86,NAR033019010,NAR033019010G,2,NAR033019010GED2,20200220,gonad,NAR033019010,0.09202,52,48,0.927,21.8523,22.0302
64,NAR033019006,NAR033019006G,3,NAR033019006GED3,20200218,gonad,NAR033019006,0.04591,33,67,0.5095,23.4617,23.4197
88,NAR033019006,NAR033019006G,1,NAR033019006GED1,20200220,gonad,NAR033019006,0.06641,37,63,0.7152,23.1457,23.1747
