Sample ID ,Sample weight,Unburned Fuse,Burned fuse,Temp. rise (C),Gross heat before correction ,Gross heat after correction
BA012220-001,0.20556,35,65,2.4299,26.1361,26.1361
BA012220-002,0.21418,39,61,2.5316,,26.1645
NAR040618025G,0.15645,15,85,1.8368,25.8601,25.737
BA012320-001,0.21309,35,65,2.5227,26.1861,26.1861
BA012320-002,0.18676,35,65,2.2181,26.2206,26.2306
NAR040618024G,0.14691,44,56,1.7297,25.9092,25.9682
NAR032919014G,0.16517,31,69,1.978,26.4072,26.3839
BA012420-001,0.19969,37,63,2.3648,26.1754,26.185
BA012420-002,0.20067,35,65,2.3788,26.2027,26.2027
NAR032619014G,0.15618,30,70,1.9056,26.8906,26.8598
NAR032919024G,0.17222,38,62,2.0697,26.5172,26.534
NAR033019002G,0.18567,41,59,2.2525,26.7985,26.8297
