fishid,tissueid,date,rep,type,personel,weight_sample,fuse_length_unburned,fuse_length_burned,temp_rise,gross_heat_uncorrected,gross_heat_corrected
NAR032019008,NAR032019008G,,1,gonad,NGA,0.17337,30,70,1.6588,21.0402,21.0124
NAR032519011,NAR032519011G,,1,gonad,NGA,0.18257,30,70,1.7417,20.996,20.9696
NAR032519002,NAR032519002G,,1,gonad,NGA,0.15442,57,63,1.467,20.8441,20.8565
NAR032619012,NAR032619012G,,1,gonad,NGA,0.13787,33,67,1.3262,21.0617,21.0478
NAR032219004,NAR032219004G,,1,gonad,NGA,0.14368,44,54,1.3982,21.3304,21.4041
NAR032919015,NAR032919015G,,1,gonad,NGA,0.18448,32,68,1.9265,23.0186,23.0029
NAR032519006,NAR032519006G,,1,gonad,NGA,0.16238,30,70,1.5793,21.3693,21.3397
NAR032519007,NAR032519007G,,1,gonad,NGA,0.11387,32,68,1.1697,22.4275,22.4022
NAR032919017,NAR032919017G,,1,gonad,NGA,0.17996,37,63,1.9581,23.9892,23.9999
NAR032119003,NAR032119003G,,1,gonad,NGA,0.21668,34,66,2.1293,21.6918,21.6874
NAR032619011,NAR032619011G,,1,gonad,NGA,0.22781,19,81,2.1513,20.8474,20.7798
NAR032519012,NAR032519012G,,1,gonad,NGA,0.16191,34,66,1.5378,20.8575,20.8515
NAR032619010,NAR032619010G,,1,gonad,NGA,0.15202,33,67,1.4602,21.0735,21.0608
NAR032919022,NAR032919022G,,1,gonad,NGA,0.12603,36,64,1.2189,21.1365,21.1441
NAR032119014,NAR032119014G,,1,gonad,NGA,0.20246,35,65,1.927,20.9796,20.9796
NAR032719010,NAR032719010G,,1,gonad,NGA,0.14575,35,65,1.3793,20.7378,20.7378
NAR032019005,NAR032019005G,,1,gonad,NGA,0.11361,30,70,1.1296,21.6877,21.6453
NAR032819007,NAR032819007G,,1,gonad,NGA,0.10117,36,64,0.9705,20.8377,20.8472
NAR032719013,NAR032719013G,,1,gonad,NGA,1.5924,30,70,1.6048,22.1486,22.1183
NAR032719006,NAR032719006G,,1,gonad,NGA,0.11476,30,70,1.1144,21.1743,21.1323
NAR032519010,NAR032519010G,,1,gonad,NGA,0.12373,38,62,1.2177,21.5076,21.5309
NAR032619003,NAR032619003G,,1,gonad,NGA,0.13562,33,67,1.2737,20.5461,20.5319
