fishid,tissueid,date,rep,type,personel,weight_sample,fuse_length_unburned,fuse_length_burned,temp_rise,gross_heat_uncorrected,gross_heat_corrected,gear,gearid,waterbody,date_capture,fishspp,tl,ww,wwt,sex,gonww,maturity,goncond,condnet,abnormal,condbloodcoll,meshcolor,meshsize,notes,ploidy,tissueww,tissuedw,percent_DM,ED_ww,id_run
NAR032019008,NAR032019008G,NA,1,gonad,NGA,0.17337,30,70,1.6588,21.0402,21.0124,gn,GNNAR03201902,NAR,20190320,WAL,491,1142,NA,M,38,1,4,A,N,A,NA,4,NA,2N,21.17,4.05,19.13084553613604,4019.8497874350496,NAR032019008G-1
NAR032519011,NAR032519011G,NA,1,gonad,NGA,0.18257,30,70,1.7417,20.996,20.9696,gn,GNNAR03251904,NAR,20190325,WAL,504,1144,NA,M,35.2,1,4,A,N,A,NA,4,NA,2N,17.31,3.31,19.121894858463317,4009.7848642403237,NAR032519011G-1
NAR032519002,NAR032519002G,NA,1,gonad,NGA,0.15442,57,63,1.467,20.8441,20.8565,gn,GNNAR03251903,NAR,20190325,WAL,476,910,NA,M,26.4,1,4,A,N,A,NA,4,NA,2N,11.66,2.14,18.353344768439108,3827.865351629503,NAR032519002G-1
NAR032619012,NAR032619012G,NA,1,gonad,NGA,0.13787,33,67,1.3262,21.0617,21.0478,gn,GNNAR03261903,NAR,20190326,WAL,458,799,NA,M,27,1,4,A,N,A,NA,4,NA,2N,13.16,2.24,17.021276595744684,3582.604255319149,NAR032619012G-1
NAR032219004,NAR032219004G,NA,1,gonad,NGA,0.14368,44,54,1.3982,21.3304,21.4041,gn,GNNAR03221902,NAR,20190322,WAL,492,1098,NA,M,39.7,1,4,A,N,A,NA,4,NA,2N,19.73,4.1,20.780537252914343,4447.88697415104,NAR032219004G-1
NAR032919015,NAR032919015G,NA,1,gonad,NGA,0.18448,32,68,1.9265,23.0186,23.0029,gn,GNNAR03291903,NAR,20190329,WAL,489,1182,NA,M,23.4,1,4,A,N,A,NA,3,NA,2N,12.11,2.4,19.81833195706028,4558.79108175062,NAR032919015G-1
NAR032519006,NAR032519006G,NA,1,gonad,NGA,0.16238,30,70,1.5793,21.3693,21.3397,gn,GNNAR03251902,NAR,20190325,WAL,475,954,NA,M,31.9,1,4,A,N,A,NA,4,NA,2N,27.24,4.98,18.28193832599119,3901.3107929515427,NAR032519006G-1
NAR032519007,NAR032519007G,NA,1,gonad,NGA,0.11387,32,68,1.1697,22.4275,22.4022,gn,GNNAR03251901,NAR,20190325,WAL,450,858,NA,M,21.7,1,4,A,N,A,NA,4,NA,2N,10.74,2.22,20.670391061452513,4630.622346368715,NAR032519007G-1
NAR032919017,NAR032919017G,NA,1,gonad,NGA,0.17996,37,63,1.9581,23.9892,23.9999,gn,GNNAR03291903,NAR,20190329,WAL,543,1620,NA,M,24.6,1,4,A,N,D,NA,3,NA,2N,11.32,2.49,21.996466431095406,5279.129946996466,NAR032919017G-1
NAR032119003,NAR032119003G,NA,1,gonad,NGA,0.21668,34,66,2.1293,21.6918,21.6874,gn,GNNAR03211901,NAR,20190321,WAL,476,1044,NA,M,34.2,1,4,A,N,A,NA,4,NA,2N,17.89,3.93,21.967579653437674,4764.196869759642,NAR032119003G-1
NAR032619011,NAR032619011G,NA,1,gonad,NGA,0.22781,19,81,2.1513,20.8474,20.7798,gn,GNNAR03261903,NAR,20190326,WAL,477,896,NA,M,29.9,1,4,A,N,A,NA,4,NA,2N,14.24,2.75,19.31179775280899,4012.952949438203,NAR032619011G-1
NAR032519012,NAR032519012G,NA,1,gonad,NGA,0.16191,34,66,1.5378,20.8575,20.8515,gn,GNNAR03251904,NAR,20190325,WAL,475,1027,NA,M,41.3,1,4,A,N,A,NA,4,NA,2N,22.11,4.49,20.30755314337404,4234.429443690638,NAR032519012G-1
NAR032619010,NAR032619010G,NA,1,gonad,NGA,0.15202,33,67,1.4602,21.0735,21.0608,gn,GNNAR03261903,NAR,20190326,WAL,468,891,NA,M,25.4,1,4,A,N,A,NA,4,NA,2N,10.87,1.85,17.019319227230913,3584.404783808648,NAR032619010G-1
NAR032919022,NAR032919022G,NA,1,gonad,NGA,0.12603,36,64,1.2189,21.1365,21.1441,gn,GNNAR03291905,NAR,20190329,WAL,503,1184,NA,M,32.4,1,4,A,N,A,NA,3,NA,2N,16.83,2.59,15.38918597742127,3253.9048722519315,NAR032919022G-1
NAR032119014,NAR032119014G,NA,1,gonad,NGA,0.20246,35,65,1.927,20.9796,20.9796,gn,GNNAR03211904,NAR,20190321,WAL,479,961,NA,M,28.6,1,4,A,N,A,NA,4,NA,2N,15.32,2.88,18.79895561357702,3943.945691906005,NAR032119014G-1
NAR032719010,NAR032719010G,NA,1,gonad,NGA,0.14575,35,65,1.3793,20.7378,20.7378,gn,GNNAR03271904,NAR,20190327,WAL,394,450,NA,M,11.9,1,4,A,N,A,NA,3,NA,2N,5.72,0.98,17.132867132867133,3552.9797202797204,NAR032719010G-1
NAR032019005,NAR032019005G,NA,1,gonad,NGA,0.11361,30,70,1.1296,21.6877,21.6453,gn,GNNAR03201902,NAR,20190320,WAL,457,957,NA,M,13.6,1,4,A,N,A,NA,4,"weird gonads, trip?",2N,5.88,0.87,14.795918367346939,3202.620918367347,NAR032019005G-1
NAR032819007,NAR032819007G,NA,1,gonad,NGA,0.10117,36,64,0.9705,20.8377,20.8472,gn,GNNAR03281906,NAR,20190328,WAL,372,414,NA,M,5.3,1,4,A,N,A,NA,2.5,NA,2N,1.72,0.18,10.465116279069766,2181.6837209302325,NAR032819007G-1
NAR032719013,NAR032719013G,NA,1,gonad,NGA,1.5924,30,70,1.6048,22.1486,22.1183,gn,GNNAR03271906,NAR,20190327,WAL,579,1978,NA,M,19.9,1,4,A,N,D,NA,3,NA,2N,8.28,1.65,19.92753623188406,4407.632246376812,NAR032719013G-1
NAR032719006,NAR032719006G,NA,1,gonad,NGA,0.11476,30,70,1.1144,21.1743,21.1323,gn,GNNAR03271903,NAR,20190327,WAL,470,868,NA,M,22.2,1,4,A,N,A,NA,4,NA,2N,8.49,1.32,15.547703180212014,3285.587279151943,NAR032719006G-1
NAR032519010,NAR032519010G,NA,1,gonad,NGA,0.12373,38,62,1.2177,21.5076,21.5309,gn,GNNAR03251904,NAR,20190325,WAL,530,1564,NA,M,30,1,4,A,N,A,NA,4,NA,2N,12.09,2.39,19.768403639371382,4256.315219189412,NAR032519010G-1
