standard,corrected_gross_heat
BA012220001,26.1361
BA012220002,26.1645
BA012320001,26.1861
BA012320002,26.2306
BA012420001,26.185
BA012420002,26.2027
BA012820001,26.2883
BA012820002,26.2069
BA012920001,26.173
BA012920002,26.1784
BA013020001,26.3309
BA013020002,26.276
BA013120001,26.2539
BA013120002,26.1014
BA020720001,26.248
BA020720002,26.236
BA021420001,26.2147
BA021420002,26.1927
BA021720001,26.2242
BA021820001,26.2631
BA021820002,26.1535
BA021920001,26.069
BA021920002,26.1988
BA022020001,26.2903
BA022020002,26.0565
BA060420001,26.2805
BA060420002,26.4385
BA060520001,26.6529
BA060520002,26.5184
BA060820001,26.2365
BA060820002,26.3109
BA060920001,26.1741
BA060920002,26.1275
BA061020001,26.2148
BA061020002,26.3037
BA061120001,26.2998
BA061120002,26.2466
BA072120001,26.2488
BA072120002,26.0959
BA080320001,26.5722
BA080320002,26.0779
BA080420001,32.0651
BA080420002,26.2186
BA080520001,26.0797
BA080520002,26.2592
BA080620001,26.2994
BA080620002,26.2064
BA092120001,26.4737
BA092120002,26.3846
BA092220001,26.2972
BA092220002,26.4154
BA092320001,26.4281
BA092320002,26.3442
BA092420001,26.7673
BA092420002,26.4614
BA092520001,26.3072
BA092520002,26.5205
BA092820001,26.3547
BA092820002,26.3452
BA092920001,26.3836
BA092920002,26.4677
BA093020001,26.3321
BA093020002,26.5785
BA100520001,26.4868
BA100520002,26.472
BA100620001,26.6404
BA100620002,25.9222
