fishid,waterbody,reading,reader,rep,light_type,id,agecap,ann,rad,radcap
M092518J002,M09,JRS_1,JRS,1,J,JUM092518J002,0,NA,NA,0.4382321966451875
M092518J002,M09,NGA_1,NGA,1,J,JUM092518J002,0,NA,NA,0.458568241513644
M092518J002,M09,NGA_2,NGA,2,J,JUM092518J002,0,NA,NA,0.44113431315580276
M092518J003,M09,JRS_1,JRS,1,J,JUM092518J003,0,NA,NA,0.4479038476962102
M092518J003,M09,NGA_1,NGA,1,J,JUM092518J003,0,NA,NA,0.5069610848478073
M092518J003,M09,NGA_2,NGA,2,J,JUM092518J003,0,NA,NA,0.5105152182776774
M092518J004,M09,JRS_1,JRS,1,J,JUM092518J004,0,NA,NA,0.37345090956877675
M092518J004,M09,NGA_1,NGA,1,J,JUM092518J004,0,NA,NA,0.5334187249925839
M092518J004,M09,NGA_2,NGA,2,J,JUM092518J004,0,NA,NA,0.522029981449989
M092518J005,M09,JRS_1,JRS,1,J,JUM092518J005,0,NA,NA,0.44394030231337867
M092518J005,M09,NGA_1,NGA,1,J,JUM092518J005,0,NA,NA,0.4348560763396186
M092518J005,M09,NGA_2,NGA,2,J,JUM092518J005,0,NA,NA,0.4575468828126963
M092518J006,M09,NGA_1,NGA,1,J,JUM092518J006,0,NA,NA,0.2619878294409401
M092518J006,M09,NGA_2,NGA,2,J,JUM092518J006,0,NA,NA,0.41512749955933226
M092518J007,M09,JRS_1,JRS,1,J,JUM092518J007,0,NA,NA,0.4683102469754275
M092518J007,M09,NGA_1,NGA,1,J,JUM092518J007,0,NA,NA,0.487773488199678
M092518J007,M09,NGA_2,NGA,2,J,JUM092518J007,0,NA,NA,0.510411589157038
M092518J008,M09,JRS_1,JRS,1,J,JUM092518J008,0,NA,NA,0.409220105732701
M092518J008,M09,NGA_1,NGA,1,J,JUM092518J008,0,NA,NA,0.6082926250569469
M092518J008,M09,NGA_2,NGA,2,J,JUM092518J008,0,NA,NA,0.5767760182151923
M092518J009,M09,JRS_1,JRS,1,J,JUM092518J009,0,NA,NA,0.36237211124167645
M092518J009,M09,NGA_1,NGA,1,J,JUM092518J009,0,NA,NA,0.3385683588577508
M092518J009,M09,NGA_2,NGA,2,J,JUM092518J009,0,NA,NA,0.5185204190432922
M092518J010,M09,JRS_1,JRS,1,J,JUM092518J010,1,1,0.21401036542053956,0.35860238030582464
M092518J010,M09,NGA_1,NGA,1,J,JUM092518J010,0,NA,NA,0.5625619865630987
M092518J010,M09,NGA_2,NGA,2,J,JUM092518J010,0,NA,NA,0.6169740322523517
M092518J011,M09,JRS_1,JRS,1,J,JUM092518J011,0,NA,NA,0.3615275194100485
M092518J011,M09,NGA_1,NGA,1,J,JUM092518J011,0,NA,NA,0.6429227188210205
M092518J011,M09,NGA_2,NGA,2,J,JUM092518J011,0,NA,NA,0.6500932407144495
M092518J012,M09,JRS_1,JRS,1,J,JUM092518J012,0,NA,NA,0.5282524434203555
M092518J012,M09,NGA_1,NGA,1,J,JUM092518J012,0,NA,NA,0.510937261702823
M092518J012,M09,NGA_2,NGA,2,J,JUM092518J012,0,NA,NA,0.49785513033205303
M092518J013,M09,JRS_1,JRS,1,J,JUM092518J013,0,NA,NA,0.46948985854009906
M092518J013,M09,NGA_1,NGA,1,J,JUM092518J013,0,NA,NA,0.298444536679109
