fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24,rad25
ANX091620J001,ANX,CJF_1,CJF,1,A,ANX091620J001,2,0.8383465988265699,0.5483732620840395,0.7215278034832244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J002,ANX,CJF_1,CJF,1,A,ANX091620J002,1,0.7075524413707355,0.5444925959411249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J003,ANX,CJF_1,CJF,1,A,ANX091620J003,4,1.0528706850855114,0.5363283266746061,0.7030295525950128,0.8610609884579978,0.9693052090524622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J004,ANX,CJF_1,CJF,1,A,ANX091620J004,3,0.8795381448057134,0.4466402176507706,0.6250767443046747,0.781217590534835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J005,ANX,CJF_1,CJF,1,A,ANX091620J005,5,1.0974555982146876,0.45046157921498553,0.6806382429898009,0.8304451172748817,0.911661016671544,1.01981898489855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J006,ANX,CJF_1,CJF,1,A,ANX091620J006,2,0.8422691680745206,0.5376607738647678,0.7415693770024129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J007,ANX,CJF_1,CJF,1,A,ANX091620J007,5,1.0791384601904817,0.4525304204317656,0.6881762898741192,0.7944811458610072,0.9027156760569152,0.9780286616873027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J008,ANX,CJF_1,CJF,1,A,ANX091620J008,0,0.4868096161991925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J009,ANX,CJF_1,CJF,1,A,ANX091620J009,3,0.8627331716663259,0.45983112986513164,0.6334921455922431,0.7624544567186553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J010,ANX,CJF_1,CJF,1,A,ANX091620J010,1,0.5709729167208208,0.40511561969078513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J011,ANX,CJF_1,CJF,1,A,ANX091620J011,3,1.023104587737378,0.5399931910522506,0.7376424616316716,0.9190430440698291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J012,ANX,CJF_1,CJF,1,A,ANX091620J012,2,0.9225092724334985,0.5516836094614563,0.8042913561203293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J013,ANX,CJF_1,CJF,1,A,ANX091620J013,1,0.701316015078409,0.5426908825325919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J014,ANX,CJF_1,CJF,1,A,ANX091620J014,1,0.7482188138701116,0.5631397847430321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J015,ANX,CJF_1,CJF,1,A,ANX091620J015,4,1.126513984190667,0.5309817143456388,0.7072190768126906,0.8649802098498476,1.035689281102624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J016,ANX,CJF_1,CJF,1,A,ANX091620J016,0,0.4252267522079513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J017,ANX,CJF_1,CJF,1,A,ANX091620J017,4,1.0534582512873834,0.47352593054644276,0.6187976722890105,0.8126812340164912,0.9588121579798106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J018,ANX,CJF_1,CJF,1,A,ANX091620J018,1,0.8368760991167333,0.6354020025911395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J019,ANX,CJF_1,CJF,1,A,ANX091620J019,1,0.8079648327961405,0.6050466630518765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J020,ANX,CJF_1,CJF,1,A,ANX091620J020,0,0.5265770687098372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J021,ANX,CJF_1,CJF,1,A,ANX091620J021,1,0.6935646014865424,0.5150443093725493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J022,ANX,CJF_1,CJF,1,A,ANX091620J022,1,0.7327655228895791,0.5350891893948082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J023,ANX,CJF_1,CJF,1,A,ANX091620J023,4,1.0280922378590875,0.4951935534634476,0.688545285083166,0.8314790461263402,0.942331981233183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J024,ANX,CJF_1,CJF,1,A,ANX091620J024,0,0.44866808861413127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J025,ANX,CJF_1,CJF,1,A,ANX091620J025,1,0.8168194203186085,0.5818414261254335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
