fishid,CJF_1,CJF_2,CJF_3,
NAR031620001,3,3,3,3
NAR031620002,4,3,3,3
NAR031620003,4,4,4,4
NAR031620004,5,5,5,5
NAR031620005,7,7,7,7
NAR031620006,6,6,6,6
NAR031620007,9,9,9,9
NAR031620008,8,NA,NA,8
NAR031620009,4,3,3,3
NAR031620010,8,8,8,8
NAR031620011,16,16,16,16
NAR031620012,3,3,3,3
NAR031620013,3,3,3,3
NAR031620015,5,5,5,5
NAR031620016,7,6,6,6
NAR031620017,9,9,9,9
NAR031620018,5,5,5,5
NAR031620019,6,6,6,6
NAR031620020,4,5,5,5
NAR031620021,7,7,7,7
NAR031620023,4,4,4,4
NAR031620024,7,7,7,7
NAR031720001,3,3,3,3
NAR031720003,4,4,4,4
NAR031720004,4,4,4,4
NAR031720005,6,6,6,6
NAR031720007,9,9,9,9
NAR031720008,4,3,3,3
NAR031720009,5,5,4,5
NAR031720010,4,4,4,4
NAR031720011,4,4,4,4
NAR031720014,8,8,8,8
NAR031720015,8,9,9,9
NAR031720016,5,5,5,5
NAR031820001,14,13,14,14
NAR031820002,10,9,11,10
NAR031820003,3,3,3,3
NAR031820004,4,4,4,4
NAR031820005,5,5,6,5
NAR031820006,4,4,4,4
NAR031820008,7,7,7,7
NAR031820009,11,11,11,11
NAR031820010,12,11,12,12
NAR031820011,6,6,6,6
NAR031920001,21,21,21,21
NAR031920002,6,6,6,6
NAR031920003,4,4,4,4
NAR031920004,8,8,8,8
NAR031920005,4,5,5,5
NAR031920006,9,9,9,9
NAR031920007,4,4,4,4
NAR031920008,4,3,4,4
NAR031920009,5,5,5,5
NAR031920010,6,6,6,6
NAR031920011,8,8,8,8
NAR031920012,8,8,8,8
NAR031920015,12,11,11,11
NAR031920016,15,15,15,15
NAR031920017,4,4,4,4
NAR031920018,9,9,10,9
NAR031920019,9,9,9,9
NAR031920020,13,14,14,14
NAR031920021,13,13,13,13
NAR031920022,6,6,6,6
NAR031920023,5,5,5,5
NAR031920025,6,6,6,6
NAR032020001,4,4,4,4
NAR032020003,7,7,7,7
NAR032020004,5,5,5,5
NAR032020005,3,3,3,3
NAR032020006,14,14,14,14
NAR032020007,11,11,11,11
NAR032020008,14,15,14,14
NAR032020009,9,9,9,9
NAR032020010,20,22,23,22
NAR032020011,14,14,14,14
NAR032020012,9,9,9,9
NAR032020013,3,3,3,3
NAR031620022,8,NA,NA,8
NAR031720002,3,NA,NA,3
NAR031720013,3,NA,NA,3
NAR031820007,4,NA,NA,4
NAR031920024,3,NA,NA,3
NAR032020002,6,NA,NA,6
