fishid,id,light_type,reading,rep,agecap,waterbody,ann,rad
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,NA,1.15961758907294
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,1,0.24195177956201974
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,2,0.4177150985933383
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,3,0.5306504575921946
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,4,0.6345792689013963
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,5,0.7154203243131682
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,6,0.786969138698638
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,7,0.8441510515396842
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,8,0.9016186577173779
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,9,0.9486512495221806
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,10,1.0055474690265795
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,11,1.0675183490491005
NAR071718001,R-NAR071718001,R,CJF_1,1,12,NAR,12,1.1241288752168521
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,NA,1.10323153299209
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,1,0.20251959962114857
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,2,0.3838981620804729
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,3,0.5585577382045501
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,4,0.6444210870442474
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,5,0.7181456634058507
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,6,0.7950067475618168
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,7,0.8816311891843424
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,8,0.9634854447602181
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,9,1.0323283423885412
NAR071718001,R-NAR071718001,R,CJF_2,2,10,NAR,10,1.0684295377865145
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,NA,1.2377420099495875
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,1,0.3010360282905021
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,2,0.4935173350411014
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,3,0.7390809460162568
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,4,0.8138105815744303
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,5,0.8836691152733595
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,6,0.94387632093146
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,7,0.9897428480448096
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,8,1.057165830814116
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,9,1.093244716370146
NAR071718001,R-NAR071718001,R,CJF_3,3,10,NAR,10,1.1727545781099031
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,NA,1.2415364260048607
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,1,0.3587685879178015
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,2,0.5549544278483567
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,3,0.6793226713682743
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,4,0.7750186296042891
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,5,0.8612179963905052
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,6,0.9305701894714402
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,7,0.9807010609846434
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,8,1.0764426469542845
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,9,1.1362069931181673
NAR071718002,R-NAR071718002,R,CJF_1,1,10,NAR,10,1.2079789617951782
NAR071718002,R-NAR071718002,R,CJF_2,2,9,NAR,NA,1.1260867972522326
NAR071718002,R-NAR071718002,R,CJF_2,2,9,NAR,1,0.28237557873858815
NAR071718002,R-NAR071718002,R,CJF_2,2,9,NAR,2,0.4892181821848637
