fishid,id,light_type,reading,rep,agecap,waterbody,ann,rad
NAR031919001,R-NAR031919001,R,CJF_1,1,8,NAR,NA,1.2229121386854584
NAR031919001,R-NAR031919001,R,CJF_1,1,8,NAR,1,0.4323909414584799
NAR031919001,R-NAR031919001,R,CJF_1,1,8,NAR,2,0.6030690146381937
NAR031919001,R-NAR031919001,R,CJF_1,1,8,NAR,3,0.7296659917161487
NAR031919001,R-NAR031919001,R,CJF_1,1,8,NAR,4,0.8422296028622446
NAR031919001,R-NAR031919001,R,CJF_1,1,8,NAR,5,0.9415855229566702
NAR031919001,R-NAR031919001,R,CJF_1,1,8,NAR,6,1.0259835076753068
NAR031919001,R-NAR031919001,R,CJF_1,1,8,NAR,7,1.126329926922824
NAR031919001,R-NAR031919001,R,CJF_1,1,8,NAR,8,1.2229121386854584
NAR031919001,R-NAR031919001,R,CJF_2,2,8,NAR,NA,1.2672388017881335
NAR031919001,R-NAR031919001,R,CJF_2,2,8,NAR,1,0.46582781356552233
NAR031919001,R-NAR031919001,R,CJF_2,2,8,NAR,2,0.6687432162524839
NAR031919001,R-NAR031919001,R,CJF_2,2,8,NAR,3,0.7749943365965573
NAR031919001,R-NAR031919001,R,CJF_2,2,8,NAR,4,0.8990181002287793
NAR031919001,R-NAR031919001,R,CJF_2,2,8,NAR,5,0.9767877517085279
NAR031919001,R-NAR031919001,R,CJF_2,2,8,NAR,6,1.0556793907632667
NAR031919001,R-NAR031919001,R,CJF_2,2,8,NAR,7,1.156984357756434
NAR031919001,R-NAR031919001,R,CJF_2,2,8,NAR,8,1.2672388017881335
NAR031919001,R-NAR031919001,R,CJF_3,3,8,NAR,NA,1.265501339315458
NAR031919001,R-NAR031919001,R,CJF_3,3,8,NAR,1,0.49578101965345767
NAR031919001,R-NAR031919001,R,CJF_3,3,8,NAR,2,0.6767882620514906
NAR031919001,R-NAR031919001,R,CJF_3,3,8,NAR,3,0.7888354321856224
NAR031919001,R-NAR031919001,R,CJF_3,3,8,NAR,4,0.8926271721577625
NAR031919001,R-NAR031919001,R,CJF_3,3,8,NAR,5,0.9881634819679104
NAR031919001,R-NAR031919001,R,CJF_3,3,8,NAR,6,1.091160916800684
NAR031919001,R-NAR031919001,R,CJF_3,3,8,NAR,7,1.1856815846899273
NAR031919001,R-NAR031919001,R,CJF_3,3,8,NAR,8,1.265501339315458
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,NA,1.453645837139119
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,1,0.3813148646621391
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,2,0.5829754096397004
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,3,0.7450852422368379
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,4,0.8852459975986479
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,5,0.9768349935000917
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,6,1.0666621533423806
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,7,1.125576336927055
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,8,1.1887808145443057
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,9,1.2769032863850955
NAR031919002,R-NAR031919002,R,CJF_1,1,12,NAR,10,1.3426933700334236
