fishid,id,light_type,reading,rep,agecap,waterbody,ann,rad
NAR061119001,R-NAR061119001,R,CJF_1,1,5,NAR,NA,1.084706854425467
NAR061119001,R-NAR061119001,R,CJF_1,1,5,NAR,1,0.40474680129265617
NAR061119001,R-NAR061119001,R,CJF_1,1,5,NAR,2,0.6674215830180967
NAR061119001,R-NAR061119001,R,CJF_1,1,5,NAR,3,0.8349808313853443
NAR061119001,R-NAR061119001,R,CJF_1,1,5,NAR,4,0.9644118086951946
NAR061119001,R-NAR061119001,R,CJF_1,1,5,NAR,5,1.084706854425467
NAR061119001,R-NAR061119001,R,CJF_2,2,5,NAR,NA,1.1477797677624841
NAR061119001,R-NAR061119001,R,CJF_2,2,5,NAR,1,0.5536911348525878
NAR061119001,R-NAR061119001,R,CJF_2,2,5,NAR,2,0.7373405495289416
NAR061119001,R-NAR061119001,R,CJF_2,2,5,NAR,3,0.899419769764877
NAR061119001,R-NAR061119001,R,CJF_2,2,5,NAR,4,1.0528880213105716
NAR061119001,R-NAR061119001,R,CJF_2,2,5,NAR,5,1.1477797677624841
NAR061119001,R-NAR061119001,R,CJF_3,3,5,NAR,NA,1.0764798493281091
NAR061119001,R-NAR061119001,R,CJF_3,3,5,NAR,1,0.48521847761022313
NAR061119001,R-NAR061119001,R,CJF_3,3,5,NAR,2,0.67546695815566
NAR061119001,R-NAR061119001,R,CJF_3,3,5,NAR,3,0.8314156887458025
NAR061119001,R-NAR061119001,R,CJF_3,3,5,NAR,4,0.9693660221647088
NAR061119001,R-NAR061119001,R,CJF_3,3,5,NAR,5,1.0764798493281091
NAR061119001,R-NAR061119001,R,JRS_1,1,4,NAR,NA,1.0600109666154292
NAR061119001,R-NAR061119001,R,JRS_1,1,4,NAR,1,0.3978962421064566
NAR061119001,R-NAR061119001,R,JRS_1,1,4,NAR,2,0.6688421311794912
NAR061119001,R-NAR061119001,R,JRS_1,1,4,NAR,3,0.8197917402195148
NAR061119001,R-NAR061119001,R,JRS_1,1,4,NAR,4,0.9552646847560324
NAR061119001,R-NAR061119001,R,LEL_1,1,3,NAR,NA,1.0487020102449711
NAR061119001,R-NAR061119001,R,LEL_1,1,3,NAR,1,0.635237725699006
NAR061119001,R-NAR061119001,R,LEL_1,1,3,NAR,2,0.7925029571478382
NAR061119001,R-NAR061119001,R,LEL_1,1,3,NAR,3,0.9444102943161733
NAR061119001,R-NAR061119001,R,LSR_1,1,4,NAR,NA,1.135363700207015
NAR061119001,R-NAR061119001,R,LSR_1,1,4,NAR,1,0.5737302090624498
NAR061119001,R-NAR061119001,R,LSR_1,1,4,NAR,2,0.7445344838357235
NAR061119001,R-NAR061119001,R,LSR_1,1,4,NAR,3,0.9058716165820354
NAR061119001,R-NAR061119001,R,LSR_1,1,4,NAR,4,1.0375566305176525
NAR061119001,R-NAR061119001,R,MJS_1,1,4,NAR,NA,1.1154203720105011
NAR061119001,R-NAR061119001,R,MJS_1,1,4,NAR,1,0.5212826670112523
NAR061119001,R-NAR061119001,R,MJS_1,1,4,NAR,2,0.7071977829074569
NAR061119001,R-NAR061119001,R,MJS_1,1,4,NAR,3,0.8705493223992942
NAR061119001,R-NAR061119001,R,MJS_1,1,4,NAR,4,1.0121341965126096
NAR061119002,R-NAR061119002,R,CJF_1,1,3,NAR,NA,0.8677342576468836
NAR061119002,R-NAR061119002,R,CJF_1,1,3,NAR,1,0.4490097680321137
NAR061119002,R-NAR061119002,R,CJF_1,1,3,NAR,2,0.7268583080762642
NAR061119002,R-NAR061119002,R,CJF_1,1,3,NAR,3,0.8677342576468836
NAR061119002,R-NAR061119002,R,CJF_2,2,2,NAR,NA,0.7624681619626497
NAR061119002,R-NAR061119002,R,CJF_2,2,2,NAR,1,0.6110143772783246
NAR061119002,R-NAR061119002,R,CJF_2,2,2,NAR,2,0.7624681619626497
NAR061119002,R-NAR061119002,R,CJF_3,3,3,NAR,NA,0.8164479256893222
NAR061119002,R-NAR061119002,R,CJF_3,3,3,NAR,1,0.35564516205307684
NAR061119002,R-NAR061119002,R,CJF_3,3,3,NAR,2,0.6226792896034865
NAR061119002,R-NAR061119002,R,CJF_3,3,3,NAR,3,0.8164479256893222
NAR061119002,R-NAR061119002,R,LEL_1,1,1,NAR,NA,0.4960016734566153
NAR061119002,R-NAR061119002,R,LEL_1,1,1,NAR,1,0.42820197319308795
NAR061119002,R-NAR061119002,R,LSR_1,1,2,NAR,NA,0.46664366140852115
NAR061119002,R-NAR061119002,R,LSR_1,1,2,NAR,1,0.3249533014321425
NAR061119002,R-NAR061119002,R,LSR_1,1,2,NAR,2,0.3996437929944277
NAR061119002,R-NAR061119002,R,MJS_1,1,1,NAR,NA,0.7987208204212736
