fishid,id,light_type,reading,rep,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,waterbody
NAR061119001,R-NAR061119001,R,CJF_1,1,5,1.084706854425467,0.40474680129265617,0.6674215830180967,0.8349808313853443,0.9644118086951946,1.084706854425467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119001,R-NAR061119001,R,CJF_2,2,5,1.1477797677624841,0.5536911348525878,0.7373405495289416,0.899419769764877,1.0528880213105716,1.1477797677624841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119001,R-NAR061119001,R,CJF_3,3,5,1.0764798493281091,0.48521847761022313,0.67546695815566,0.8314156887458025,0.9693660221647088,1.0764798493281091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119001,R-NAR061119001,R,JRS_1,1,4,1.0600109666154292,0.3978962421064566,0.6688421311794912,0.8197917402195148,0.9552646847560324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119001,R-NAR061119001,R,LEL_1,1,3,1.0487020102449711,0.635237725699006,0.7925029571478382,0.9444102943161733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119001,R-NAR061119001,R,LSR_1,1,4,1.135363700207015,0.5737302090624498,0.7445344838357235,0.9058716165820354,1.0375566305176525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119001,R-NAR061119001,R,MJS_1,1,4,1.1154203720105011,0.5212826670112523,0.7071977829074569,0.8705493223992942,1.0121341965126096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119002,R-NAR061119002,R,CJF_1,1,3,0.8677342576468836,0.4490097680321137,0.7268583080762642,0.8677342576468836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119002,R-NAR061119002,R,CJF_2,2,2,0.7624681619626497,0.6110143772783246,0.7624681619626497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119002,R-NAR061119002,R,CJF_3,3,3,0.8164479256893222,0.35564516205307684,0.6226792896034865,0.8164479256893222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
