fishid,radcap
ANX091818A002,0.756530708
ANX091818A003,1.202706903
ANX091818A005,0.761867556
ANX091818A006,0.992823947
ANX091818A009,0.750133169
ANX091818A010,0.730790516
ANX091818A011,1.184686155
ANX091818A012,0.707163325
ANX091818A013,0.850569811
ANX091818A014,0.739915616
ANX091818A015,0.701285946
ANX091818A016,0.67319606
ANX091818A017,1.01281445
ANX091818A018,0.70979962
ANX091818A020,0.813686717
ANX091818A021,0.723063066
ANX091818A023,0.837612883
ANX091818A024,0.732521768
ANX091818A025,1.179748394
ANX091818A026,1.014144182
ANX091818A027,0.911984791
ANX091818A028,0.77034013
ANX091818A029,1.481727573
ANX091818A030,0.79871452
ANX091818A031,0.805199442
ANX091818A033,1.303326387
ANX091818A034,0.846117066
ANX091818A036,1.199092858
ANX091818A037,0.699709534
ANX091818A038,1.02378955
ANX091818A039,0.99283044
ANX091818A040,1.124873819
ANX091818A041,0.567861827
ANX091818A042,0.587293006
ANX091818A043,0.967944483
ANX091818A045,0.629488368
ANX091818A046,0.748545736
ANX091818A047,0.842622138
ANX091818A048,0.645989915
ANX091818A049,0.66735097
ANX091818A051,0.723699409
ANX091818A052,1.354571305
ANX091818A053,1.148836959
ANX091818A054,0.601650692
ANX091818A055,0.577015571
ANX091818A056,0.757861281
ANX091818A057,0.802236651
ANX091818A058,0.841253817
ANX091818A060,0.752060913
ANX091818A061,0.773705711
ANX091818A062,0.926977484
ANX091818A063,0.777636731
ANX091818A064,0.737048177
ANX091818A065,0.783876744
ANX091818A066,0.725149515
ANX091818A067,0.848781315
ANX091818A068,0.611430704
ANX091818A069,0.699138919
ANX091818A070,0.591175274
ANX091818A071,0.574788907
ANX091818A072,0.767705876
ANX091818A073,0.724584369
ANX091818A074,0.650946777
ANX091818A076,0.652910989
ANX091818A077,0.549212746
ANX091818A078,0.632618057
ANX091818A079,0.770237796
ANX091818A080,0.799327126
ANX091818A081,0.701933311
ANX091818A082,1.039644836
ANX091818A083,1.21576642
ANX091818A084,0.848852564
ANX091818A085,0.978822033
ANX091818A087,0.898841808
ANX091818A088,0.551128357
ANX091818A089,0.816774754
ANX091818A090,0.738712022
ANX091818A091,0.942695481
ANX091818A092,0.819573601
ANX091818A093,0.661025244
ANX091818A094,0.663135667
ANX091818A095,1.18419457
ANX091818A096,0.743753348
ANX091818A097,0.597128294
ANX091818A098,0.662740848
ANX091818A099,0.730795463
ANX091818A100,0.625629515
ANX091818A101,0.681003645
ANX091818A103,0.734947026
ANX091818A104,0.622532794
ANX091818A105,0.92389586
ANX091818A106,0.574722122
ANX091818A108,0.770253897
ANX091818A110,0.517308449
ANX091818A111,0.722690064
ANX091818A112,0.614738278
ANX091818A113,0.629932919
ANX091818A115,0.680686778
ANX091818J001,0.704467987
ANX091818J002,0.574055692
ANX091818J003,0.54824899
ANX091818J004,0.514348699
ANX091818J005,0.556722682
ANX091818J006,0.601773592
ANX091818J007,0.652799985
ANX091818J008,0.429097316
ANX091818J009,0.532317778
ANX091818J010,0.539353768
ANX091818J011,0.615818953
ANX091818J012,0.512908724
ANX091818J013,0.508787744
ANX091818J014,0.537629184
ANX091818J015,0.547235156
ANX091818J016,0.51731924
ANX091818J017,0.527354966
ANX091818J018,0.51743818
ANX091818J019,0.483770024
ANX091818J020,0.492595567
ANX091818J022,0.487065044
ANX091818J023,0.405174221
ANX091818J024,0.475792721
ANX102518A001,1.157030877
ANX102518A002,1.253879612
ANX102518A003,1.163301668
ANX102518A004,1.254462435
ANX102518A005,1.13644257
ANX102518A006,1.109781841
ANX102518A007,1.13593419
ANX102518A008,1.252680596
ANX102518A009,1.113692168
ANX102518A010,1.222236973
ANX102518A011,1.140728934
ANX102518A012,1.272960583
ANX102518A014,0.76222268
ANX102518A015,1.108034184
ANX102518J001,0.593074212
ANX102518J002,0.653667151
ANX102518J003,0.369149176
ANX102518J004,0.492987376
ANX102518J006,0.480194283
ANX102518J007,0.651453719
ANX102518J008,0.532506873
ANX102518J009,0.579404644
ANX102518J010,0.545889123
ANX102518J011,0.579277501
ANX102518J012,0.596201665
ANX102518J014,0.474571
ANX102518J015,0.632738292
ANX102518J016,0.530417662
ANX102518J017,0.497396044
ANX102518J018,0.598716091
ANX102518J019,0.598817139
ANX102518J020,0.585665177
ANX102518J021,0.56493569
ANX102518J022,0.476910296
ANX102518J023,0.584124929
ANX102518J024,0.579949966
ANX102518J025,0.530267789
ANX111218J001,0.555106967
ANX111218J003,0.526359575
ANX111218J004,0.569307745
ANX112018A002,1.011841661
ANX112018A003,1.314599434
ANX112018A004,1.306176285
ANX112018A005,0.96587018
ANX112018A007,1.177314469
ANX112018A008,1.033575607
ANX112018A009,1.188629789
JAX111419001,0.914324329
JAX111419002,0.66437694
JAX111419003,0.759821895
