fishid,waterbody,reading,reader,rep,light_type,id,agecap,ann,rad,radcap
JUM071819J001,JUM,CJF_1,CJF,1,R,R-JUM071819J001,1,1,0.47068467089432486,0.564312935857314
JUM071819J001,JUM,CJF_3,CJF,3,R,R-JUM071819J001,1,1,0.5262234253413615,0.6065817545113616
JUM071819J002,JUM,CJF_1,CJF,1,R,R-JUM071819J002,1,1,0.5420138132865383,0.6073354793984811
JUM071819J002,JUM,CJF_3,CJF,3,R,R-JUM071819J002,1,1,0.5437822612267056,0.6316007378279931
JUM071819J003,JUM,CJF_1,CJF,1,R,R-JUM071819J003,1,1,0.503074869877143,0.5602307917107058
JUM071819J003,JUM,CJF_3,CJF,3,R,R-JUM071819J003,1,1,0.4367436494485983,0.4951897381689143
JUM071819J004,JUM,CJF_1,CJF,1,R,R-JUM071819J004,1,1,0.40507934127989564,0.5076707653003114
JUM071819J004,JUM,CJF_3,CJF,3,R,R-JUM071819J004,1,1,0.5517147958555778,0.6493042518333942
JUM071819J005,JUM,CJF_1,CJF,1,R,R-JUM071819J005,1,1,0.5312950660312731,0.6175835876406721
JUM071819J005,JUM,CJF_3,CJF,3,R,R-JUM071819J005,1,1,0.42568003367403084,0.5026436960138465
JUM071819J006,JUM,CJF_1,CJF,1,R,R-JUM071819J006,1,1,0.5277944122609425,0.6642238950905471
JUM071819J006,JUM,CJF_3,CJF,3,R,R-JUM071819J006,1,1,0.5266943998637866,0.6219787545868277
JUM071819J007,JUM,CJF_1,CJF,1,R,R-JUM071819J007,1,1,0.5819211712990481,0.6707313428751001
JUM071819J007,JUM,CJF_3,CJF,3,R,R-JUM071819J007,1,1,0.5701134484665838,0.6895023520898683
JUM071819J008,JUM,CJF_1,CJF,1,R,R-JUM071819J008,0,NA,NA,0.5372303706526264
JUM071819J008,JUM,CJF_3,CJF,3,R,R-JUM071819J008,0,NA,NA,0.45843203830330487
JUM071819J009,JUM,CJF_1,CJF,1,R,R-JUM071819J009,1,1,0.49523169440524,0.5702698421396555
JUM071819J009,JUM,CJF_3,CJF,3,R,R-JUM071819J009,1,1,0.49700500023353855,0.5814854598737924
JUM071819J010,JUM,CJF_1,CJF,1,R,R-JUM071819J010,1,1,0.4534092590729825,0.503793402624397
JUM071819J010,JUM,CJF_3,CJF,3,R,R-JUM071819J010,1,1,0.44047689654885336,0.4962100966155017
JUM071819J011,JUM,CJF_1,CJF,1,R,R-JUM071819J011,1,1,0.5060307185166033,0.5802491616330874
JUM071819J011,JUM,CJF_3,CJF,3,R,R-JUM071819J011,1,1,0.516086794902895,0.5747072039996612
JUM071819J012,JUM,CJF_1,CJF,1,R,R-JUM071819J012,1,1,0.4444838808866584,0.5411259050219879
JUM071819J012,JUM,CJF_3,CJF,3,R,R-JUM071819J012,1,1,0.4614627418718496,0.5334607452512065
JUM071819J013,JUM,CJF_1,CJF,1,R,R-JUM071819J013,1,1,0.4407292144841042,0.5410636974346517
JUM071819J013,JUM,CJF_3,CJF,3,R,R-JUM071819J013,1,1,0.5581029149193802,0.6605435736528565
JUM071819J014,JUM,CJF_1,CJF,1,R,R-JUM071819J014,3,1,0.4974021109202726,0.9586746717509371
JUM071819J014,JUM,CJF_1,CJF,1,R,R-JUM071819J014,3,2,0.7281189187925565,0.9586746717509371
JUM071819J014,JUM,CJF_1,CJF,1,R,R-JUM071819J014,3,3,0.9143362261831305,0.9586746717509371
JUM071819J014,JUM,CJF_3,CJF,3,R,R-JUM071819J014,3,1,0.6468759800948934,1.0395474281983874
JUM071819J014,JUM,CJF_3,CJF,3,R,R-JUM071819J014,3,2,0.7887512609125915,1.0395474281983874
JUM071819J014,JUM,CJF_3,CJF,3,R,R-JUM071819J014,3,3,0.9802358272453522,1.0395474281983874
JUM071819J015,JUM,CJF_1,CJF,1,R,R-JUM071819J015,1,1,0.48628962168541323,0.6013627856024408
JUM071819J015,JUM,CJF_3,CJF,3,R,R-JUM071819J015,1,1,0.45509792302169383,0.5367765596713936
JUM071819J018,JUM,CJF_1,CJF,1,R,R-JUM071819J018,1,1,0.4914544518546326,0.5585189653772503
JUM071819J018,JUM,CJF_3,CJF,3,R,R-JUM071819J018,1,1,0.5029436603426506,0.5961095000729603
