fishid,id,light_type,reading,rep,agecap,waterbody,ann,rad
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,NA,1.884958750469321
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,1,0.4685562094311677
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,2,0.649784080471018
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,3,0.7885249068351574
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,4,0.9024832880591621
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,5,1.0025002957013178
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,6,1.0894631568432391
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,7,1.1687924072640696
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,8,1.2465715066731204
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,9,1.3126223074422705
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,10,1.3751341854091392
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,11,1.4522503608880228
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,12,1.5249403864830133
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,13,1.5836890384961557
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,14,1.6376800786603212
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,15,1.6738593604752743
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,16,1.7326080124884171
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,17,1.7925753535482556
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,18,1.8363882460842997
NAR032018001,R-NAR032018001,R,CJF_1,1,19,NAR,19,1.884958750469321
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,NA,1.8920783180538938
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,1,0.47811429207538975
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,2,0.6508119658406326
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,3,0.7973030810003994
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,4,0.9016987130405866
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,5,1.0140388073378253
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,6,1.0750011736341838
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,7,1.1602275290834148
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,8,1.2384166025181258
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,9,1.3089636071099622
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,10,1.3775680422491954
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,11,1.4506624031219901
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,12,1.5263041202757428
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,13,1.5898138428530595
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,14,1.6341542888394198
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,15,1.6846248365977685
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,16,1.7312102454509097
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,17,1.7972673243091846
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,18,1.8410029834671906
NAR032018001,R-NAR032018001,R,CJF_2,2,19,NAR,19,1.8920783180538938
NAR032018001,R-NAR032018001,R,CJF_3,3,19,NAR,NA,1.8964513570703645
NAR032018001,R-NAR032018001,R,CJF_3,3,19,NAR,1,0.46228608655270276
NAR032018001,R-NAR032018001,R,CJF_3,3,19,NAR,2,0.6527579552518781
NAR032018001,R-NAR032018001,R,CJF_3,3,19,NAR,3,0.798226940424747
NAR032018001,R-NAR032018001,R,CJF_3,3,19,NAR,4,0.9158628744099757
NAR032018001,R-NAR032018001,R,CJF_3,3,19,NAR,5,1.0149281473377223
