fishid,waterbody,reading,reader,rep,light_type,id,agecap,ann,rad,radcap
NAR061119001,NAR,CJF_1,CJF,1,R,R-NAR061119001,5,1,0.5543466198692973,1.134945761762415
NAR061119001,NAR,CJF_1,CJF,1,R,R-NAR061119001,5,2,0.735831411350185,1.134945761762415
NAR061119001,NAR,CJF_1,CJF,1,R,R-NAR061119001,5,3,0.8988633419915368,1.134945761762415
NAR061119001,NAR,CJF_1,CJF,1,R,R-NAR061119001,5,4,1.019377613233634,1.134945761762415
NAR061119001,NAR,CJF_1,CJF,1,R,R-NAR061119001,5,5,1.1168733780371882,1.134945761762415
NAR061119001,NAR,CJF_2,CJF,2,R,R-NAR061119001,5,1,0.5536911348525878,1.1477797677624841
NAR061119001,NAR,CJF_2,CJF,2,R,R-NAR061119001,5,2,0.7373405495289416,1.1477797677624841
NAR061119001,NAR,CJF_2,CJF,2,R,R-NAR061119001,5,3,0.899419769764877,1.1477797677624841
NAR061119001,NAR,CJF_2,CJF,2,R,R-NAR061119001,5,4,1.0528880213105716,1.1477797677624841
NAR061119001,NAR,CJF_2,CJF,2,R,R-NAR061119001,5,5,1.1477797677624841,1.1477797677624841
NAR061119001,NAR,CJF_3,CJF,3,R,R-NAR061119001,5,1,0.48521847761022313,1.0764798493281091
NAR061119001,NAR,CJF_3,CJF,3,R,R-NAR061119001,5,2,0.67546695815566,1.0764798493281091
NAR061119001,NAR,CJF_3,CJF,3,R,R-NAR061119001,5,3,0.8314156887458025,1.0764798493281091
NAR061119001,NAR,CJF_3,CJF,3,R,R-NAR061119001,5,4,0.9693660221647088,1.0764798493281091
NAR061119001,NAR,CJF_3,CJF,3,R,R-NAR061119001,5,5,1.0764798493281091,1.0764798493281091
NAR061119001,NAR,JRS_1,JRS,1,R,R-NAR061119001,4,1,0.3978962421064566,1.0600109666154292
NAR061119001,NAR,JRS_1,JRS,1,R,R-NAR061119001,4,2,0.6688421311794912,1.0600109666154292
NAR061119001,NAR,JRS_1,JRS,1,R,R-NAR061119001,4,3,0.8197917402195148,1.0600109666154292
NAR061119001,NAR,JRS_1,JRS,1,R,R-NAR061119001,4,4,0.9552646847560324,1.0600109666154292
NAR061119001,NAR,LEL_1,LEL,1,R,R-NAR061119001,3,1,0.635237725699006,1.0487020102449711
NAR061119001,NAR,LEL_1,LEL,1,R,R-NAR061119001,3,2,0.7925029571478382,1.0487020102449711
NAR061119001,NAR,LEL_1,LEL,1,R,R-NAR061119001,3,3,0.9444102943161733,1.0487020102449711
NAR061119001,NAR,LSR_1,LSR,1,R,R-NAR061119001,4,1,0.5737302090624498,1.135363700207015
NAR061119001,NAR,LSR_1,LSR,1,R,R-NAR061119001,4,2,0.7445344838357235,1.135363700207015
NAR061119001,NAR,LSR_1,LSR,1,R,R-NAR061119001,4,3,0.9058716165820354,1.135363700207015
NAR061119001,NAR,LSR_1,LSR,1,R,R-NAR061119001,4,4,1.0375566305176525,1.135363700207015
NAR061119001,NAR,MJS_1,MJS,1,R,R-NAR061119001,4,1,0.5212826670112523,1.1154203720105011
NAR061119001,NAR,MJS_1,MJS,1,R,R-NAR061119001,4,2,0.7071977829074569,1.1154203720105011
