fishid,waterbody,reading,reader,rep,light_type,id,agecap,ann,rad,radcap
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,1,0.5668270780012489,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,2,0.8748860952871831,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,3,0.9863439554223845,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,4,1.0644293181752862,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,5,1.1483326936595135,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,6,1.249690107337719,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,7,1.330226667336281,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,8,1.4107632273348434,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,9,1.4738457491394268,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,10,1.5485642964066628,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,11,1.6208316464282377,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,12,1.698001390941135,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,13,1.7552659000143922,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,14,1.8309000655216323,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,15,1.8814309436235594,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,16,1.9356242946855031,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,17,2.0210632491753877,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,18,2.0991486119282885,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,19,2.1738671591955248,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,20,2.280126967365052,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,21,2.349027501900962,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,22,2.3989384192372367,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,23,2.4684589145387994,2.522652265600743
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,24,2.522652265600743,2.522652265600743
RGR040919002,RGR,CJF_1,CJF,1,R,R-RGR040919002,8,1,0.5681573314379337,1.545220202408749
RGR040919002,RGR,CJF_1,CJF,1,R,R-RGR040919002,8,2,0.8045508184036794,1.545220202408749
RGR040919002,RGR,CJF_1,CJF,1,R,R-RGR040919002,8,3,0.972936254826485,1.545220202408749
RGR040919002,RGR,CJF_1,CJF,1,R,R-RGR040919002,8,4,1.0992291948025654,1.545220202408749
RGR040919002,RGR,CJF_1,CJF,1,R,R-RGR040919002,8,5,1.2107996706133735,1.545220202408749
RGR040919002,RGR,CJF_1,CJF,1,R,R-RGR040919002,8,6,1.329436620210794,1.545220202408749
RGR040919002,RGR,CJF_1,CJF,1,R,R-RGR040919002,8,7,1.4298217314086112,1.545220202408749
RGR040919002,RGR,CJF_1,CJF,1,R,R-RGR040919002,8,8,1.545220202408749,1.545220202408749
RGR040919003,RGR,CJF_1,CJF,1,R,R-RGR040919003,8,1,0.5736117155035466,1.557406889633802
RGR040919003,RGR,CJF_1,CJF,1,R,R-RGR040919003,8,2,0.8086646382037781,1.557406889633802
RGR040919003,RGR,CJF_1,CJF,1,R,R-RGR040919003,8,3,0.9689655004091486,1.557406889633802
RGR040919003,RGR,CJF_1,CJF,1,R,R-RGR040919003,8,4,1.1023307600256587,1.557406889633802
RGR040919003,RGR,CJF_1,CJF,1,R,R-RGR040919003,8,5,1.2181426010677086,1.557406889633802
RGR040919003,RGR,CJF_1,CJF,1,R,R-RGR040919003,8,6,1.3308270474382917,1.557406889633802
RGR040919003,RGR,CJF_1,CJF,1,R,R-RGR040919003,8,7,1.441595048591752,1.557406889633802
RGR040919003,RGR,CJF_1,CJF,1,R,R-RGR040919003,8,8,1.557406889633802,1.557406889633802
RGR040919004,RGR,CJF_1,CJF,1,R,R-RGR040919004,3,1,0.4887650939413871,0.7815066006654956
RGR040919004,RGR,CJF_1,CJF,1,R,R-RGR040919004,3,2,0.6662068645299765,0.7815066006654956
RGR040919004,RGR,CJF_1,CJF,1,R,R-RGR040919004,3,3,0.7815066006654956,0.7815066006654956
RGR040919005,RGR,CJF_1,CJF,1,R,R-RGR040919005,5,1,0.5477406042332905,1.2896396941649695
RGR040919005,RGR,CJF_1,CJF,1,R,R-RGR040919005,5,2,0.8134209106870389,1.2896396941649695
RGR040919005,RGR,CJF_1,CJF,1,R,R-RGR040919005,5,3,0.9876493429823721,1.2896396941649695
RGR040919005,RGR,CJF_1,CJF,1,R,R-RGR040919005,5,4,1.1360734944075839,1.2896396941649695
RGR040919005,RGR,CJF_1,CJF,1,R,R-RGR040919005,5,5,1.2896396941649695,1.2896396941649695
RGR040919006,RGR,CJF_1,CJF,1,R,R-RGR040919006,8,1,0.49541527277530745,1.3234767966796444
RGR040919006,RGR,CJF_1,CJF,1,R,R-RGR040919006,8,2,0.6886006236037658,1.3234767966796444
RGR040919006,RGR,CJF_1,CJF,1,R,R-RGR040919006,8,3,0.8336159675131088,1.3234767966796444
RGR040919006,RGR,CJF_1,CJF,1,R,R-RGR040919006,8,4,0.9680277473569061,1.3234767966796444
RGR040919006,RGR,CJF_1,CJF,1,R,R-RGR040919006,8,5,1.0612980275114403,1.3234767966796444
RGR040919006,RGR,CJF_1,CJF,1,R,R-RGR040919006,8,6,1.1428135934690422,1.3234767966796444
RGR040919006,RGR,CJF_1,CJF,1,R,R-RGR040919006,8,7,1.2215823392326421,1.3234767966796444
RGR040919006,RGR,CJF_1,CJF,1,R,R-RGR040919006,8,8,1.3234767966796444,1.3234767966796444
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,1,0.5133099869892657,1.2597107445195888
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,2,0.7122729604537729,1.2597107445195888
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,3,0.8210987546910392,1.2597107445195888
