fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24,date,date2
NAR041221001,NAR,CJF_1,CJF,1,R,R-NAR041221001,10,1.35599897171201,0.5965000867792984,0.7102573321608873,0.8034541532740624,0.8918820173186077,0.9654856827954224,1.043408364070655,1.1184292394497324,1.2078243721263298,1.2766590805345137,1.35599897171201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221002,NAR,CJF_1,CJF,1,R,R-NAR041221002,4,1.0114707932018683,0.5806914484204716,0.7527612721700367,0.8527026745960868,1.0114707932018683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221003,NAR,CJF_1,CJF,1,R,R-NAR041221003,16,1.564154459665583,0.4566472036621362,0.6388816726273027,0.763167610707568,0.8730754826203658,0.9511929667047242,1.0147737423616037,1.0957668396794555,1.1535963888693486,1.217216825091231,1.280718279618105,1.3501692634369802,1.3877901988624122,1.4397892004553117,1.4889522493797203,1.5236579110066566,1.564154459665583,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221004,NAR,CJF_1,CJF,1,R,R-NAR041221004,5,0.869769267010879,0.4232577582120529,0.5687729634421226,0.6622633034970825,0.7590756079215815,0.869769267010879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221005,NAR,CJF_1,CJF,1,R,R-NAR041221005,6,1.2166104757441851,0.6655401020657432,0.849533813920872,0.9550143933242788,1.043427436646839,1.1168190750343934,1.2166104757441851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221007,NAR,CJF_1,CJF,1,R,R-NAR041221007,2,0.6732645934984598,0.435377026191935,0.6732645934984598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221008,NAR,CJF_1,CJF,1,R,R-NAR041221008,2,0.6383335219429694,0.4233641415926497,0.6383335219429694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221009,NAR,CJF_1,CJF,1,R,R-NAR041221009,2,0.6089973456721132,0.37393586208081203,0.6089973456721132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221010,NAR,CJF_1,CJF,1,R,R-NAR041221010,2,0.6393541781244058,0.4309939993286691,0.6393541781244058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221011,NAR,CJF_1,CJF,1,R,R-NAR041221011,3,0.8369047394815975,0.3456527357085177,0.6360329028561881,0.8369047394815975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221012,NAR,CJF_1,CJF,1,R,R-NAR041221012,9,1.2418747748023675,0.4038943677077188,0.6251054649621064,0.7405378004459344,0.8503334948580796,0.9519441790677156,1.0330167653114115,1.0946310592092323,1.1726153735120706,1.2418747748023675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
