fishid,id,light_type,reading,rep,agecap,radcap,waterbody
PFH052919001,T-PFH052919001,T,CJF_1,1,0,0.15983078234596673,PFH
PFH052919002,T-PFH052919002,T,CJF_1,1,0,0.17941925198700417,PFH
PFH052919003,T-PFH052919003,T,CJF_1,1,0,0.14992237201822178,PFH
PFH052919004,T-PFH052919004,T,CJF_1,1,0,0.20881095766107363,PFH
PFH052919006,T-PFH052919006,T,CJF_1,1,0,0.19142983296688904,PFH
PFH052919007,T-PFH052919007,T,CJF_1,1,0,0.19612841238905632,PFH
PFH052919008,T-PFH052919008,T,CJF_1,1,0,0.11059882502416725,PFH
PFH052919009,T-PFH052919009,T,CJF_1,1,0,0.14820979672760864,PFH
PFH052919010,T-PFH052919010,T,CJF_1,1,0,0.20178970909974128,PFH
PFH052919011,T-PFH052919011,T,CJF_1,1,0,0.12972283979811974,PFH
PFH052919012,T-PFH052919012,T,CJF_1,1,0,0.1879324317558742,PFH
PFH052919013,T-PFH052919013,T,CJF_1,1,0,0.18875892203915598,PFH
PFH052919014,T-PFH052919014,T,CJF_1,1,0,0.1658720462751786,PFH
PFH052919015,T-PFH052919015,T,CJF_1,1,0,0.09421036225158287,PFH
PFH052919017,T-PFH052919017,T,CJF_1,1,0,0.1660370990026926,PFH
PFH052919018,T-PFH052919018,T,CJF_1,1,0,0.1284805842439496,PFH
PFH052919019,T-PFH052919019,T,CJF_1,1,0,0.1377366474710907,PFH
PFH052919021,T-PFH052919021,T,CJF_1,1,0,0.11219882963382469,PFH
PFH052919022,T-PFH052919022,T,CJF_1,1,0,0.1361734101360148,PFH
PFH052919023,T-PFH052919023,T,CJF_1,1,0,0.11355257994903627,PFH
PFH052919024,T-PFH052919024,T,CJF_1,1,0,0.16118773418395277,PFH
PFH052919025,T-PFH052919025,T,CJF_1,1,0,0.17986469084055284,PFH
PFH052919026,T-PFH052919026,T,CJF_1,1,0,0.11783689354443844,PFH
PFH052919027,T-PFH052919027,T,CJF_1,1,0,0.1741637878621514,PFH
PFH052919028,T-PFH052919028,T,CJF_1,1,0,0.1506753198757187,PFH
PFH052919029,T-PFH052919029,T,CJF_1,1,0,0.16499592658048254,PFH
PFH052919030,T-PFH052919030,T,CJF_1,1,0,0.17523622318698454,PFH
PFH052919031,T-PFH052919031,T,CJF_1,1,0,0.1364779893018936,PFH
PFH052919032,T-PFH052919032,T,CJF_1,1,0,0.21956537120893282,PFH
PFH052919033,T-PFH052919033,T,CJF_1,1,0,0.20785283835324644,PFH
PFH052919034,T-PFH052919034,T,CJF_1,1,0,0.18678367874360224,PFH
PFH052919035,T-PFH052919035,T,CJF_1,1,0,0.22468696022839593,PFH
PFH052919036,T-PFH052919036,T,CJF_1,1,0,0.15957062662429758,PFH
PFH052919037,T-PFH052919037,T,CJF_1,1,0,0.19342228916377716,PFH
PFH052919038,T-PFH052919038,T,CJF_1,1,0,0.15414419605876445,PFH
PFH052919039,T-PFH052919039,T,CJF_1,1,0,0.13702144633974986,PFH
PFH052919040,T-PFH052919040,T,CJF_1,1,0,0.17425575800297805,PFH
PFH052919041,T-PFH052919041,T,CJF_1,1,0,0.13495450039675574,PFH
PFH052919042,T-PFH052919042,T,CJF_1,1,0,0.20328475891883255,PFH
PFH052919043,T-PFH052919043,T,CJF_1,1,0,0.17645085843545602,PFH
PFH052919044,T-PFH052919044,T,CJF_1,1,0,0.21236221385112045,PFH
PFH052919045,T-PFH052919045,T,CJF_1,1,0,0.15062626708782886,PFH
PFH052919046,T-PFH052919046,T,CJF_1,1,0,0.11963477752543007,PFH
PFH052919047,T-PFH052919047,T,CJF_1,1,0,0.12414244024288368,PFH
PFH052919048,T-PFH052919048,T,CJF_1,1,0,0.20012597604518906,PFH
PFH052919049,T-PFH052919049,T,CJF_1,1,0,0.2176788915800952,PFH
PFH052919050,T-PFH052919050,T,CJF_1,1,0,0.22083467805970858,PFH
PFH052919051,T-PFH052919051,T,CJF_1,1,0,0.14691163144679226,PFH
PFH052919052,T-PFH052919052,T,CJF_1,1,0,0.13241375802495375,PFH
PFH052919053,T-PFH052919053,T,CJF_1,1,0,0.16545831940991354,PFH
PFH052919055,T-PFH052919055,T,CJF_1,1,0,0.15452766876910845,PFH
PFH052919056,T-PFH052919056,T,CJF_1,1,0,0.18400964030407393,PFH
PFH052919057,T-PFH052919057,T,CJF_1,1,0,0.16917487235588807,PFH
