fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23
ANX091818A002,ANX,CJF_1,CJF,1,R,R-ANX091818A002,1,0.7565307075081342,0.47488960435564265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A002,ANX,LEL_1,LEL,1,R,R-ANX091818A002,2,0.6937421751387112,0.32720488826497607,0.4623864441730213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A002,ANX,LSR_1,LSR,1,R,R-ANX091818A002,2,0.7737791188289458,0.4949512087813721,0.6533673183581448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A002,ANX,NGA_1,NGA,1,R,R-ANX091818A002,2,0.6828549937718487,0.433984844079264,0.5568531566856861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A002,ANX,NGA_1,NGA,1,R,R-ANX091818A002,2,0.7246158214146289,0.4697808049125408,0.5944300231795181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A003,ANX,CJF_1,CJF,1,R,R-ANX091818A003,4,1.2027069032079014,0.5168971654356634,0.7622484180712905,0.949327671790632,1.0760034569493904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A003,ANX,LEL_1,LEL,1,R,R-ANX091818A003,3,0.8397494202633575,0.43272515682467705,0.5968993451986195,0.722724686928318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A003,ANX,LSR_1,LSR,1,R,R-ANX091818A003,4,0.6804091850400655,0.3330425341724097,0.4667683950344524,0.5723166720545618,0.6558126303719438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A003,ANX,MJS_1,MJS,1,R,R-ANX091818A003,4,0.7096808730195334,0.35484043650977065,0.5047444058327177,0.5978155106140995,0.7096808730195334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A003,ANX,NGA_1,NGA,1,R,R-ANX091818A003,3,1.2549603857683018,0.5823566341411553,0.7909133836216091,0.9967552164378778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A003,ANX,NGA_1,NGA,1,R,R-ANX091818A003,3,1.278635865921827,0.820804540385346,1.022968596017442,1.1599589283508294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A004,ANX,LEL_1,LEL,1,R,R-ANX091818A004,1,0.5967432638583593,0.37718380769429793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A005,ANX,CJF_1,CJF,1,R,R-ANX091818A005,2,0.7618675561643163,0.4633923972943758,0.6527401443350067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A005,ANX,LEL_1,LEL,1,R,R-ANX091818A005,2,0.8052639870496265,0.4907434837477203,0.6745151018167828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A005,ANX,LSR_1,LSR,1,R,R-ANX091818A005,3,0.6411462933212748,0.41884990336206795,0.5515209872065535,0.6074667523670018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A005,ANX,MJS_1,MJS,1,R,R-ANX091818A005,2,0.7707171442467158,0.4638527633368036,0.7707171442467158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
