fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24
ANX091818A002,ANX,CJF_1,CJF,1,R,R-ANX091818A002,1,0.7565307075081342,0.47488960435564265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A003,ANX,CJF_1,CJF,1,R,R-ANX091818A003,4,1.2027069032079014,0.5168971654356634,0.7622484180712905,0.949327671790632,1.0760034569493904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A005,ANX,CJF_1,CJF,1,R,R-ANX091818A005,2,0.7618675561643163,0.4633923972943758,0.6527401443350067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A006,ANX,CJF_1,CJF,1,R,R-ANX091818A006,4,0.9928239472470968,0.38066588642605076,0.6140083180136223,0.7733900445213836,0.89498588095718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A009,ANX,CJF_1,CJF,1,R,R-ANX091818A009,2,0.7501331689553092,0.45948222692822227,0.6267484429357701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A010,ANX,CJF_1,CJF,1,R,R-ANX091818A010,2,0.7307905163839842,0.44222706212192425,0.5867944339126403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A011,ANX,CJF_1,CJF,1,R,R-ANX091818A011,4,1.1846861553922072,0.4781042989429922,0.748945039885667,0.9447952921434503,1.0770467562670893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A012,ANX,CJF_1,CJF,1,R,R-ANX091818A012,2,0.7071633248633091,0.4106236339759943,0.571794660318216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A013,ANX,CJF_1,CJF,1,R,R-ANX091818A013,2,0.8505698106640731,0.5311931480814839,0.7419430976979863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A014,ANX,CJF_1,CJF,1,R,R-ANX091818A014,2,0.7399156157471769,0.45353592355570965,0.6281883826875267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A015,ANX,CJF_1,CJF,1,R,R-ANX091818A015,1,0.7012859459762151,0.4985768880038475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A016,ANX,CJF_1,CJF,1,R,R-ANX091818A016,1,0.6731960603747779,0.5074250714418531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A017,ANX,CJF_1,CJF,1,R,R-ANX091818A017,4,1.0128144502002576,0.3973106868234312,0.63296742412251,0.789563210752458,0.9054104556424777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A018,ANX,CJF_1,CJF,1,R,R-ANX091818A018,2,0.7097996202990087,0.45985026437095283,0.571861506148724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A020,ANX,CJF_1,CJF,1,R,R-ANX091818A020,2,0.8136867172311065,0.47781358481116476,0.6637449836922803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A021,ANX,CJF_1,CJF,1,R,R-ANX091818A021,2,0.7230630658892362,0.4099067493978904,0.5964495401260499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A023,ANX,CJF_1,CJF,1,R,R-ANX091818A023,2,0.8376128832733485,0.4452015751538284,0.6779472450335872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A024,ANX,CJF_1,CJF,1,R,R-ANX091818A024,1,0.7325217680962991,0.49913178645917944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A025,ANX,CJF_1,CJF,1,R,R-ANX091818A025,4,1.1797483943749225,0.3915812078028834,0.6971900377353825,0.9415064664525453,1.0612259575739758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
